,0
15,"['185.27.99.2', '15/Oct/2021', '05:59:11', 'GET', '/clojure/clojure_decision_making.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13903', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
16,"['185.27.99.2', '15/Oct/2021', '05:59:43', 'GET', '/clojure/clojure_functions.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14010', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
17,"['185.27.99.2', '15/Oct/2021', '06:00:32', 'GET', '/clojure/clojure_recursion.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13889', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
18,"['185.27.99.2', '15/Oct/2021', '06:00:37', 'GET', '/clojure/clojure_file_io.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14846', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
19,"['185.27.99.2', '15/Oct/2021', '06:02:26', 'GET', '/clojure/clojure_lists.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14035', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
20,"['185.27.99.2', '15/Oct/2021', '06:03:21', 'GET', '/clojure/clojure_sets.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14008', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
21,"['185.27.99.2', '15/Oct/2021', '06:03:54', 'GET', '/clojure/clojure_vectors.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13983', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
22,"['185.27.99.2', '15/Oct/2021', '06:04:41', 'GET', '/clojure/clojure_maps.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14715', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
23,"['185.27.99.2', '15/Oct/2021', '06:05:37', 'GET', '/clojure/clojure_namespaces.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14059', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
24,"['185.27.99.2', '15/Oct/2021', '06:05:48', 'GET', '/clojure/clojure_exception_handling.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '16366', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
25,"['185.27.99.2', '15/Oct/2021', '06:08:19', 'GET', '/clojure/clojure_atoms.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14258', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
26,"['185.27.99.2', '15/Oct/2021', '06:08:33', 'GET', '/clojure/clojure_metadata.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13775', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
27,"['185.27.99.2', '15/Oct/2021', '06:09:07', 'GET', '/clojure/clojure_structmaps.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14014', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
28,"['185.27.99.2', '15/Oct/2021', '06:09:34', 'GET', '/clojure/clojure_agents.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14353', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
29,"['185.27.99.2', '15/Oct/2021', '06:09:45', 'GET', '/clojure/clojure_watchers.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14675', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
30,"['185.27.99.2', '15/Oct/2021', '06:09:56', 'GET', '/clojure/clojure_macros.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14337', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
31,"['185.27.99.2', '15/Oct/2021', '06:10:29', 'GET', '/clojure/clojure_reference_values.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13906', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
32,"['185.27.99.2', '15/Oct/2021', '06:10:40', 'GET', '/clojure/clojure_databases.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '16268', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
33,"['185.27.99.2', '15/Oct/2021', '06:10:51', 'GET', '/clojure/clojure_java_interface.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14938', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
34,"['185.27.99.2', '15/Oct/2021', '06:11:03', 'GET', '/clojure/clojure_applications.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '15342', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
35,"['185.27.99.2', '15/Oct/2021', '06:11:09', 'GET', '/clojure/clojure_automated_testing.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '15652', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
36,"['185.27.99.2', '15/Oct/2021', '06:11:28', 'GET', '/clojure/clojure_desktop_displaying_labels.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13917', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
37,"['185.27.99.2', '15/Oct/2021', '06:11:33', 'GET', '/clojure/clojure_desktop_displaying_buttons.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13993', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
38,"['185.27.99.2', '15/Oct/2021', '06:11:44', 'GET', '/clojure/clojure_desktop_displaying_modal_text_view.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13734', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
39,"['185.27.99.2', '15/Oct/2021', '06:11:56', 'GET', '/clojure/clojure_desktop_changing_value_text.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13714', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
40,"['185.27.99.2', '15/Oct/2021', '06:12:02', 'GET', '/clojure/clojure_desktop_seesaw.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13862', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
41,"['185.27.99.2', '15/Oct/2021', '06:12:13', 'GET', '/clojure/clojure_while_statement.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14050', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
42,"['185.27.99.2', '15/Oct/2021', '06:12:23', 'GET', '/clojure/clojure_dotimes_statement.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13760', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
43,"['185.27.99.2', '15/Oct/2021', '06:12:34', 'GET', '/clojure/clojure_loop_statement.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14013', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
44,"['185.27.99.2', '15/Oct/2021', '06:12:46', 'GET', '/clojure/clojure_if_statement.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13847', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
45,"['185.27.99.2', '15/Oct/2021', '06:12:57', 'GET', '/clojure/clojure_if_do_expression.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13883', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
46,"['185.27.99.2', '15/Oct/2021', '06:13:08', 'GET', '/clojure/clojure_cond_statement.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14013', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
47,"['185.27.99.2', '15/Oct/2021', '06:13:19', 'GET', '/clojure/clojure_anonymous_functions.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13401', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
48,"['185.27.99.2', '15/Oct/2021', '06:13:32', 'GET', '/clojure/clojure_functions_multiple_arguments.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13524', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
49,"['185.27.99.2', '15/Oct/2021', '06:13:44', 'GET', '/clojure/clojure_higher_order_functions.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13502', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
50,"['185.27.99.2', '15/Oct/2021', '06:13:56', 'GET', '/clojure/clojure_zero.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13552', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
51,"['185.27.99.2', '15/Oct/2021', '06:14:08', 'GET', '/clojure/clojure_pos.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13416', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
52,"['185.27.99.2', '15/Oct/2021', '06:14:13', 'GET', '/clojure/clojure_neg.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13418', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
53,"['185.27.99.2', '15/Oct/2021', '06:14:24', 'GET', '/clojure/clojure_odd.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13574', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
54,"['185.27.99.2', '15/Oct/2021', '06:14:36', 'GET', '/clojure/clojure_number.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13552', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
55,"['185.27.99.2', '15/Oct/2021', '06:14:49', 'GET', '/clojure/clojure_str.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13533', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
56,"['185.27.99.2', '15/Oct/2021', '06:15:00', 'GET', '/clojure/clojure_strings_format.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13671', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
57,"['185.27.99.2', '15/Oct/2021', '06:15:06', 'GET', '/clojure/clojure_strings_count.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13551', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
58,"['185.27.99.2', '15/Oct/2021', '06:15:12', 'GET', '/clojure/clojure_strings_subs.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13643', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
59,"['185.27.99.2', '15/Oct/2021', '06:15:23', 'GET', '/clojure/clojure_strings_uppercase.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13589', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
60,"['185.27.99.2', '15/Oct/2021', '06:15:37', 'GET', '/clojure/clojure_strings_join.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13557', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
61,"['185.27.99.2', '15/Oct/2021', '06:15:49', 'GET', '/clojure/clojure_strings_split.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13637', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
62,"['185.27.99.2', '15/Oct/2021', '06:16:01', 'GET', '/clojure/clojure_strings_replace.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13663', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
63,"['185.27.99.2', '15/Oct/2021', '06:16:07', 'GET', '/clojure/clojure_strings_trim.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13573', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
64,"['185.27.99.2', '15/Oct/2021', '06:16:19', 'GET', '/clojure/clojure_strings_triml.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13593', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
65,"['185.27.99.2', '15/Oct/2021', '06:16:31', 'GET', '/clojure/clojure_strings_trimr.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13518', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
66,"['185.27.99.2', '15/Oct/2021', '06:16:43', 'GET', '/clojure/clojure_list.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13593', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
67,"['185.27.99.2', '15/Oct/2021', '06:16:50', 'GET', '/clojure/clojure_lists_first.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13454', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
68,"['185.27.99.2', '15/Oct/2021', '06:17:02', 'GET', '/clojure/clojure_lists_nth.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13523', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
69,"['106.11.152.5', '15/Oct/2021', '06:17:46', 'GET', '/doc_python_3_5/python_3_5-library-zipapp.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '128557', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1']"
70,"['106.11.154.8', '15/Oct/2021', '06:18:30', 'GET', '/assembly/assembly-coprocessor.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '16698', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1']"
71,"['185.27.99.2', '15/Oct/2021', '06:18:38', 'GET', '/clojure/clojure_lists_rest.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13560', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
72,"['185.27.99.2', '15/Oct/2021', '06:18:55', 'GET', '/clojure/clojure_sets_conj.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13517', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
73,"['185.27.99.2', '15/Oct/2021', '06:19:06', 'GET', '/clojure/clojure_disj.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13489', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
74,"['185.27.99.2', '15/Oct/2021', '06:19:11', 'GET', '/clojure/clojure_union.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13530', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
75,"['185.27.99.2', '15/Oct/2021', '06:19:17', 'GET', '/clojure/clojure_difference.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13521', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
76,"['185.27.99.2', '15/Oct/2021', '06:19:23', 'GET', '/clojure/clojure_intersection.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13506', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
77,"['185.27.99.2', '15/Oct/2021', '06:19:29', 'GET', '/clojure/clojure_subset.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13608', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
78,"['185.27.99.2', '15/Oct/2021', '06:19:35', 'GET', '/clojure/clojure_superset.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13526', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
